"大分类","小分类","语言","名字","更新时间","下载地址","SHA1","大小"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2016 LTSB (x64) - DVD (English)","2016-08-11","ed2k://|file|en_windows_10_enterprise_2016_ltsb_x64_dvd_9059483.iso|3577901056|76E819D417B9B511FF558DABADA170BE|/","031ED6ACDC47B8F582C781B039F501D83997A1CF","3.33GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2016 LTSB (x86) - DVD (English)","2016-08-11","ed2k://|file|en_windows_10_enterprise_2016_ltsb_x86_dvd_9060010.iso|2642147328|682EC35820374C32A8B51D9B32F036DC|/","45E72D02FF17125C699558719EB946D8E140C9CC","2.46GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2016 LTSB N (x64) - DVD (English)","2016-08-11","ed2k://|file|en_windows_10_enterprise_2016_ltsb_n_x64_dvd_9057894.iso|3454820352|AFC1CF9377D01F1557A46C05F599F6C4|/","B5D4911BD53EC5029781ADE0937DAD43C4ED90F6","3.22GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise 2016 LTSB N (x86) - DVD (English)","2016-08-11","ed2k://|file|en_windows_10_enterprise_2016_ltsb_n_x86_dvd_9058202.iso|2554556416|733F99E3F69CF8A9953F3018E8BDED3F|/","3F8F9811A7E72ADF88215060E38BA81340DFB0C0","2.38GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise N (x64) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_n_x64_dvd_6852541.iso|3787139072|951F2E4B0024DB84268F298C49B3BBAD|/","804625011BA1E6768F68E9996FB0B5034F3052F4","3.53GB"
"操作系统","Windows 10","英语","Windows 10 Enterprise N (x86) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_enterprise_n_x86_dvd_6852543.iso|2808852480|397EAF573DA2723D254E4E325F21D600|/","FE0A660193624DE7159DD97DC0D3E081C2666DF3","2.62GB"
"操作系统","Windows 10","英语","Windows 10 N (Multiple Editions) (x64) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_n_multiple_editions_x64_dvd_6846434.iso|3851401216|F0AA6EA9C3389BB50086891B61430053|/","A038780A94EE490F288530A24464AE54C604A292","3.59GB"
"操作系统","Windows 10","英语","Windows 10 N (Multiple Editions) (x86) - DVD (English)","2015-07-29","ed2k://|file|en_windows_10_n_multiple_editions_x86_dvd_6846435.iso|2861430784|E7A16F5AF1FEF3FB5A75B215D840CFE7|/","2E3519C0323FC92CA5B6BA5758E9E3AF868621B0","2.66GB"
"操作系统","Windows 10","中文 - 香港","Windows 10 (Multiple Editions) (x64) - DVD (Chinese-Hong Kong SAR)","2015-07-29","ed2k://|file|hk_windows_10_multiple_editions_x64_dvd_6846860.iso|4215201792|DEE36755A081F197EE386AA1C1B2851D|/","AE7728C1ABD78BAB04C06A9F4418DDD27C284811","3.93GB"
"操作系统","Windows 10","中文 - 香港","Windows 10 (Multiple Editions) (x86) - DVD (Chinese-Hong Kong SAR)","2015-07-29","ed2k://|file|hk_windows_10_multiple_editions_x86_dvd_6846861.iso|3165634560|E35ED0A05C049E0274185C0A8175E1A3|/","3310887C489DF86909588E62488759DFBE6D773E","2.95GB"
"操作系统","Windows 10","中文 - 香港","Windows 10 Enterprise (x64) - DVD (Chinese-Hong Kong SAR)","2015-07-29","ed2k://|file|hk_windows_10_enterprise_x64_dvd_6846966.iso|4067514368|A9F20E8F609B46183CE044AD39179758|/","1DC4CC47FC4B17FDF763ABE554506C37E43BCAAC","3.79GB"
